id,ref,book,chapter,verse,fact,features,relation,strength,pass_a_ids
gp-1ne-18-23,"1 Nephi 18:23",1 Nephi,18,23,"Arrived at promised land; went forth upon the land",landing,location,hard,
gp-1ne-18-24,"1 Nephi 18:24",1 Nephi,18,24,"Tilled earth; seeds grew exceedingly",landing,other,soft,
gp-1ne-18-25,"1 Nephi 18:25",1 Nephi,18,25,"Beasts in forests; ore of all kinds in the land",landing,other,soft,
gp-2ne-5-7,"2 Nephi 5:7",2 Nephi,5,7,"Journeyed many days in the wilderness",landing|nephi|wilderness,travel,soft,
gp-2ne-5-8,"2 Nephi 5:8",2 Nephi,5,8,"Called the name of the place Nephi",nephi,location,hard,
gp-omni-12,"Omni 1:12",Omni,1,12,"Mosiah warned to flee out of land of Nephi",nephi,political,hard,
gp-omni-13a,"Omni 1:13",Omni,1,13,"Departed into the wilderness",nephi|wilderness,travel,hard,mc-map-16-wilderness-strip
gp-omni-13b,"Omni 1:13",Omni,1,13,"Came down into the land of Zarahemla",zarahemla|wilderness,elevation,hard,mc-map-09-zarahemla-grijalva|mc-map-07-nephi-highlands
gp-omni-14,"Omni 1:14",Omni,1,14,"Discovered a people called the people of Zarahemla",zarahemla,location,hard,
gp-omni-16,"Omni 1:16",Omni,1,16,"People of Zarahemla came out from Jerusalem at captivity; brought no records",zarahemla,other,soft,
gp-omni-20,"Omni 1:20",Omni,1,20,"Large stone with engravings; Coriantumr lived with people of Zarahemla",zarahemla|desolation,other,soft,mc-map-18-desolation-north-neck
gp-omni-27,"Omni 1:27",Omni,1,27,"A number went up into the wilderness to return to land of Nephi",zarahemla|wilderness|nephi,elevation,hard,
gp-omni-28,"Omni 1:28",Omni,1,28,"Contentions; majority slain; remnant returned to Zarahemla",nephi|zarahemla,travel,soft,
gp-mos-7-4,"Mosiah 7:4",Mosiah,7,4,"Wandered forty days in wilderness seeking land of Nephi",zarahemla|nephi|wilderness,distance,hard,mc-map-16-wilderness-strip
gp-mos-7-5,"Mosiah 7:5",Mosiah,7,5,"Pitched tents on hill north of land of Shilom",shilom|nephi,adjacency,hard,
gp-mos-8-7,"Mosiah 8:7",Mosiah,8,7,"Limhi sent 43 into wilderness to find Zarahemla",nephi|zarahemla|wilderness,travel,hard,
gp-mos-8-8,"Mosiah 8:8",Mosiah,8,8,"Lost in wilderness; found land of many waters; bones; ruins",desolation|wilderness,location,hard,mc-map-18-desolation-north-neck
gp-mos-8-9,"Mosiah 8:9",Mosiah,8,9,"Brought 24 gold plates",desolation,other,soft,
